user_id,default_profile,default_profile_image,favourites_count,followers_count,friends_count,listed_count,statuses_count,geo_enabled,protected,verified,has_extended_profile,is_translator,user_lang,senti_polarity,senti_subjectivity,place_reference,possibly_sensitive,is_a_reply,is_quote_status,is_a_retweet,favorite_count,retweet_count,hash_tags_cnt,media_cnt,url_ref_cnt,symbols_cnt,user_ref_cnt,tweet_freq_hrs,bot_flg
4278258021,1,0,1,57,34,11,6890,0,0,0,0,0,en,0.05,0.303,0.0,0.0,0.0,0.145,1.0,0.0,174.821,1.008,0.059,0.364,0.0,2.417,0.543,1
453943990,1,0,537,1232,3307,8,11546,1,0,0,1,0,en,0.108,0.295,0.0,0.0,0.003,0.131,0.983,0.002,1408.613,0.371,0.257,0.242,0.0,1.313,1.416,1
2432695399,1,0,37,357,1091,4,1006,0,0,0,0,0,en,0.26,0.372,0.0,0.0,0.021,0.013,0.065,0.535,1.113,0.302,0.114,0.747,0.0,0.409,40.082,1
4038367361,1,0,0,532,3778,17,6633,0,0,0,0,0,en,-0.061,0.328,0.0,0.0,0.0,0.0,0.0,0.041,0.005,0.0,0.0,1.0,0.0,0.0,0.603,1
3227372866,0,0,30511,2876,152,37,764,1,0,0,1,0,en,0.049,0.35,0.0,0.0,0.021,0.268,0.701,0.309,33847.258,0.021,0.216,0.268,0.0,0.691,82.381,1
198912491,0,0,2488,1173,1012,33,3235,1,0,0,0,0,en,0.145,0.347,0.006,0.0,0.006,0.002,0.078,0.397,2.019,0.331,0.275,0.656,0.0,0.114,22.151,1
2349287108,1,1,2,4,21,0,731,0,0,0,0,0,en,0.108,0.216,0.0,0.0,0.0,0.031,0.506,0.004,36.687,1.219,0.103,0.141,0.0,0.703,47.209,1
2340187291,0,0,6911,1305,1017,7,11974,0,0,0,0,0,en,0.037,0.086,0.0,0.0,0.0,0.025,0.998,0.0,145.474,1.186,0.214,0.155,0.0,1.301,4.143,1
174667446,1,0,4205,185,186,0,3739,0,0,0,1,0,tr,0.047,0.068,0.0,0.0,0.121,0.006,0.11,0.392,586.228,0.038,0.108,0.278,0.0,0.563,14.517,1
2617230595,1,0,0,1628,1770,62,56632,0,0,0,0,0,en,0.156,0.347,0.0,0.0,0.003,0.0,0.0,0.032,0.025,0.13,0.0,0.837,0.001,0.002,2.923,1
875124919,1,1,0,40,37,12,32277,0,0,0,0,0,en,0.162,0.378,0.0,0.0,0.0,0.0,0.0,0.018,0.004,0.003,0.0,0.282,0.0,0.0,2.444,1
1536911095,1,0,0,10,110,0,1421,0,0,0,0,0,en,0.073,0.101,0.0,0.0,0.011,0.001,0.003,0.006,0.032,0.988,0.0,0.004,0.0,0.07,23.104,1
2619185548,1,0,132,308,1145,0,3973,0,0,0,1,0,en,0.001,0.005,0.0,0.0,0.001,0.0,0.0,0.008,31.294,0.0,0.002,0.998,0.0,0.002,8.055,1
126523026,1,0,0,18,0,1,41766,0,0,0,0,0,en,0.159,0.187,0.0,0.0,0.0,0.0,0.0,0.001,0.006,4.0,0.0,1.0,0.0,0.0,0.346,1
3289231435,1,1,0,2,0,0,482,0,0,0,0,0,en,0.078,0.3,0.0,0.0,0.0,0.0,0.0,0.006,0.004,1.004,0.998,0.726,0.0,0.002,6.079,1
544678058,1,0,3,11,14,1,1569,0,0,0,1,0,en,0.224,0.429,0.0,0.0,0.009,0.032,0.12,0.026,25.018,0.873,0.093,0.906,0.0,1.016,32.711,1
111972836,0,0,6,11451,0,159,47673,1,0,0,0,0,en,0.128,0.328,0.0,0.0,0.0,0.0,0.0,0.115,0.063,0.618,0.001,0.32,0.0,0.842,0.447,1
295603097,0,0,944,1731,2464,56,8723,0,0,0,0,0,en,0.097,0.264,0.0,0.0,0.016,0.01,0.789,0.013,853.11,0.323,0.211,0.532,0.001,0.875,11.456,1
612969870,1,0,0,9,1,5,6708,1,0,0,0,0,en,0.009,0.04,0.998,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,1.0,0.0,0.0,12.556,1
299394251,1,0,12528,267,747,6,8361,0,0,0,0,0,en,0.125,0.417,0.0,0.0,0.332,0.034,0.414,0.282,3889.162,0.274,0.117,0.12,0.0,0.91,10.559,1
102377428,0,0,16,162,129,1,31696,1,0,0,0,0,en,0.191,0.435,0.027,0.0,0.002,0.001,0.001,0.016,0.048,0.004,0.079,1.078,0.0,0.005,10.551,1
1715866932,0,0,248,984,503,14,6363,1,0,0,0,0,en,0.173,0.265,0.0,0.0,0.0,0.0,0.004,0.625,0.654,1.378,0.195,1.203,0.0,0.093,5.872,1
3566757674,1,0,1677,17,5,0,1674,0,0,0,0,0,en,0.223,0.324,0.0,0.0,0.004,0.007,0.996,0.001,27565.142,0.863,0.212,0.096,0.0,1.103,10.073,1
3421470951,1,0,0,12,32,0,756,0,0,0,0,0,en,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,1.001,0.0,0.0,0.04,1
2905394860,1,0,6561,1002,1807,7,3818,0,0,0,0,0,en,0.223,0.427,0.0,0.0,0.26,0.035,0.503,2.984,200.864,1.181,0.331,0.093,0.0,1.012,10.264,1
3244706724,1,0,0,25,58,0,9143,0,0,0,0,0,en,0.497,0.497,0.0,0.0,0.971,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,1.428,3.697,1
980236250,0,0,462,17,602,20,996,0,0,0,0,0,en,0.125,0.227,0.0,0.0,0.004,0.001,0.85,0.008,1993.132,1.112,0.118,0.844,0.0,0.961,33.563,1
3860569152,0,0,4361,10,179,0,1417,0,0,0,0,0,en,-0.05,0.175,0.0,0.0,0.001,0.031,0.993,0.003,1620.416,0.749,0.535,0.29,0.0,0.883,10.123,1
326369679,0,0,75,4735,606,3,52,1,0,0,0,0,en,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.0,8.5,0.5,0.0,0.0,0.0,0.25,1013.0,1
2399877985,1,0,282,18,0,4,330,0,0,0,0,0,en,0.147,0.312,0.0,0.0,0.0,0.096,0.964,0.0,776.614,1.023,0.125,0.416,0.04,1.508,17.403,1
